sample_ID,,,204Pb_206Pb,207Pb_206Pb,206Pb_percent,U_ppm,Th_U,206Pb_238U_date,206Pb_238U_date_err,207Pb_206Pb_date,207Pb_206Pb_date_err,207Pb_235U,207Pb_235U_err,206Pb_238U,206Pb_238U_err,rho,rim_core
ST10,1,21.1,0.000511,0.0883,0.94,280,0.48,1159,28,1222,93,2.2,5.4,0.1969,2.6,0.485,core
ST10,1,22.1*,0.000287,0.078,0.53,270,0.71,1052,39,1040,66,1.808,5.2,0.1773,4,0.776,rim
ST10,1,23.1,0.000565,0.0801,1,270,0.35,1222,55,987,48,2.072,5.5,0.2086,4.9,0.901,core
ST10,1,24.1,0.000397,0.0859,0.73,320,0.29,1250,25,1205,61,2.37,3.8,0.214,2.2,0.575,core
ST10,1,25.1*,0.000466,0.078,0.85,260,0.64,1035,35,966,51,1.713,4.4,0.1742,3.6,0.826,rim
ST10,1,26.1,0.000272,0.0806,0.5,360,0.76,1159,26,1114,29,2.084,2.9,0.197,2.5,0.864,core
ST10,1,27.1,0.000428,0.0802,0.78,250,0.42,1152,43,1043,45,1.998,4.6,0.1957,4.1,0.878,core
ST10,1,28.1,0.000779,0.0817,1.4,220,0.44,1127,28,946,110,1.859,5.8,0.191,2.7,0.466,core
ST10,1,28.2*,0.00036,0.0755,0.66,460,0.54,1096,46,938,33,1.797,4.8,0.1854,4.6,0.942,rim
ST10,1,29.1,0.000231,0.0813,0.42,410,0.52,1141,26,1148,40,2.082,3.2,0.1936,2.4,0.773,core
ST10,1,30.1,0.000114,0.0819,0.21,370,0.53,1204,27,1205,29,2.276,2.9,0.2054,2.5,0.859,core
BV10,1.1,,0.000182,0.0834,0.3,88,0.48,1266,21,1217,41,2.418,2.7,0.217,1.8,0.658,core
BV10,1.2*,,0.00003,0.0723,0.052,660,0.15,1004,11,982,9,1.669,1.3,0.1685,1.2,0.942,rim
BV10,2.1,,-0.000038,0.0755,-0.063,180,0.36,1138,68,1095,162,2.023,10.4,0.193,6.5,0.625,core
BV10,3.1,,0.000018,0.0835,0.03,250,0.34,983,11,1275,14,1.89,1.4,0.1647,1.2,0.86,core
BV10,4.1*,,0.000042,0.0727,0.072,350,0.7,1038,40,989,36,1.737,4.6,0.1747,4.2,0.92,rim
BV10,5.1*,,0.000024,0.0723,0.042,550,0.27,1010,21,985,29,1.683,2.6,0.1697,2.2,0.837,rim
BV10,6.1,,0.000038,0.0788,0.063,170,0.46,1174,16,1153,28,2.154,2,0.1997,1.5,0.725,core
