descriptor,region,sample,grain,date,error,N,oxide_percent,CaO,K2O,SiO2,SrO,P2O5,As2O5,ThO2,UO2,Y2O3,La2O3,Ce2O3,Nd2O3,Pr2O3,Sm2O3,Tb2O3,Gd2O3,Dy2O3,Ho2O3,Er2O3,Eu2O3,Tm2O3,Yb2O3,SO3,PbO
lower Y cores,West Guilford,HA13,m9,1084,8,6,99.29,0.54,0,0.27,0.01,29,0.04,2.67,0.11,0.57,11.75,27.7,16.03,3.54,3.3,0.1,2.56,0.36,0.03,0.02,0.22,0.02,0,0.33,0.14
lower Y cores,West Guilford,11AM–20,m6 (gt),1082,11,6,99.08,0.88,0,0.12,0,29.61,0.12,2.59,0.74,1.99,13.33,25.7,13.8,3.08,2.88,0.1,2.3,0.68,0.05,0.14,0.34,0.03,0.01,0.38,0.24
lower Y cores,West Guilford,HA13,m12 (gt),1075,9,6,98.91,0.52,0,0.39,0,28.52,0.02,3.52,0.08,0.37,10.95,27.26,16.97,3.61,3.42,0.04,2.3,0.24,0.03,0,0.19,0.02,0.01,0.29,0.18
lower Y cores,West Guilford,11AM–20,m7,1074,13,5,99.38,1.77,0,0.28,0,29.32,0.11,7.4,0.6,1.79,11.64,24.2,12.8,2.9,2.56,0.12,2.1,0.65,0,0.1,0.17,0.01,0,0.45,0.44
lower Y cores,West Guilford,HA13,m13,1072,25,6,99.48,0.48,0.01,0.23,0,29.36,0.04,2.59,0.22,0.99,11.84,27.66,15.44,3.46,3.24,0.13,2.69,0.54,0.01,0.03,0.23,0.02,0,0.13,0.16
higher Y rims,West Guilford,11AM–20,m9,1064,20,5,99.99,1,0.01,0.25,0.01,30.08,0.11,4.64,0.54,3.33,12.03,24.65,13.12,2.99,2.7,0.18,2.41,1.02,0.04,0.21,0.18,0.03,0.05,0.11,0.3
higher Y rims,West Guilford,HA13,m10,1060,20,3,98.69,0.44,0,0.16,0,29.49,0.07,2.17,0.23,1.6,11.98,26.96,14.48,3.33,3.1,0.23,3,0.8,0.04,0.08,0.33,0.01,0,0.07,0.14
higher Y rims,West Guilford,11AM–20,m7,1048,6,6,99.55,1.14,0,0.26,0,29.88,0.08,5.43,0.61,3.62,11.48,23.78,12.76,2.87,2.71,0.21,2.59,1.13,0.1,0.22,0.17,0.03,0.03,0.12,0.34
higher Y rims,West Guilford,11AM–20,m10,1047,7,5,100.67,1,0.02,0.21,0,30.31,0.1,4.44,0.69,3.07,12.05,24.98,13.37,3.03,2.81,0.17,2.57,0.95,0.09,0.17,0.17,0.03,0.02,0.13,0.31
higher Y rims,West Guilford,HA13,m13,1037,22,4,97.99,0.37,0.01,0.17,0,29.07,0.05,1.83,0.21,1.59,12.2,27.62,14.58,3.4,2.98,0.14,2.46,0.7,0.01,0.08,0.36,0.03,0,0.04,0.11
higher Y rims,West Guilford,HA13,m9,1035,28,6,98.57,0.46,0,0.19,0,29.18,0.08,2.5,0.3,1.45,11.71,26.9,15.07,3.45,3.15,0.17,2.7,0.7,0.01,0.08,0.26,0.02,0,0.06,0.16
higher Y rims,West Guilford,HA13,m4,1035,21,6,99.68,0.44,0,0.15,0.01,29.51,0.1,2.15,0.27,1.6,12.4,27.56,14.51,3.4,3.04,0.21,2.82,0.8,0.05,0.1,0.33,0.03,0.01,0.07,0.14
oddball,West Guilford,HA13,m6,1107,10,5,99.19,0.57,0,0.23,0.01,28.92,0.04,2.54,0.19,0.93,12.28,27.62,15.06,3.45,3.15,0.16,2.73,0.56,0,0.04,0.23,0.03,0,0.31,0.15
lower Y cores,Fishtail Lake,11AM–1,m11,1102,13,3,99.68,1.59,0,0.17,0,30.36,0.09,7.41,0.6,0.4,12.63,25.73,12.5,3,2.61,0.04,1.66,0.2,0,0,0.23,0.01,0,0.03,0.45
lower Y cores,Fishtail Lake,11AM–1,m2,1089,9,8,100.66,1.02,0,0.34,0.02,29.96,0.14,5.96,0.19,0.51,14.18,27.65,12.88,3.15,2.29,0.05,1.51,0.26,0.01,0.02,0.2,0,0,0.05,0.31
lower Y cores,Fishtail Lake,11AM–1,m4,1088,32,4,102.33,0.37,0,0.16,0,30.75,0.1,1.91,0.17,0.17,13.34,30.23,16.79,3.74,2.94,0,1.19,0.09,0.02,0.01,0.22,0.02,0,0.03,0.12
lower Y cores,Fishtail Lake,11AM–1,m2,1076,14,4,102.16,0.39,0,0.17,0.01,30.7,0.03,1.99,0.17,0.17,13.3,30.19,16.73,3.71,2.93,0,1.2,0.09,0.02,0.01,0.23,0.02,0,0.03,0.12
lower Y cores,Fishtail Lake,11AM–1,m5 (gt),1072,24,3,100.85,0.47,0,0.17,0,30.55,0.04,2.33,0.22,0.18,13.28,29.56,16.14,3.64,2.74,0,1.19,0.08,0,0,0.22,0,0.01,0.03,0.14
intermediate Y outer cores,Fishtail Lake,11AM–1,m4,1057,5,4,101.18,1.48,0,0.54,0,30.18,0.14,8.79,0.46,1.26,11.54,24.73,13.02,2.94,2.43,0.11,2.27,0.53,0.01,0.06,0.15,0.06,0,0.03,0.47
